Date,CreativeID,Time Zone,MarketCode,MarketName,Network,Station,Program Aired,Air Type,CreativeID,CreativeName,CreativeLength,Spend
11/28/2019,10:51 PM,Local,4490,Oklahoma City                 ,BBGRS,K O C B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,10:51 PM,Local,4660,Phoenix                       ,BBGRS,K A S W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,10:51 PM,Local,5010,Sacramento-Stockton           ,BBGRS,K M A X - TV 31               ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:21 PM,Local,2350,Detroit                       ,BBGRS,W A D L - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:21 PM,Local,4730,"Portland, OR                  ",BBGRS,K P D X - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:21 PM,Local,5420,Shreveport-Texarkana          ,BBGRS,K P X J - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:22 PM,Local,2590,Evansville                    ,BBGRS,W T V W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:23 PM,Local,4660,Phoenix                       ,BBGRS,K A S W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:23 PM,Local,5120,Salt Lake City                ,BBGRS,K J Z Z - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:25 PM,Local,6010,West Palm Beach-Ft. Pierce-Ver,BBGRS,W T V X - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:51 PM,Local,2040,Cleveland                     ,BBGRS,W U A B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:51 PM,Local,2270,Davenport-Rock Island-Moline-Q,BBGRS,K G C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:51 PM,Local,2350,Detroit                       ,BBGRS,W A D L - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:51 PM,Local,5810,Tulsa                         ,BBGRS,K M Y T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:53 PM,Local,5120,Salt Lake City                ,BBGRS,K J Z Z - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,11:53 PM,Local,5400,Seattle-Tacoma                ,BBGRS,K S T W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/30/2019, 4:13 AM,Local,5550,St. Louis                     ,EXP2 ,K T V I - T V                 ,XPLORATION NATURE KNOWS BEST  ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/30/2019, 5:12 AM,Local,2310,Denver                        ,EXP2 ,K D V R - T V                 ,XPLORATION WEIRD BUT TRUE     ,Syndication                   ,RRFALL30E2H  ,TRR_30_TVC_FALL_HERO                                        ,30,0
